Sample ID	Group	Subject	Month	MonthCat	Date	DateCat	DaysElapsed	DaysElapsedCat	Timepoint	TimepointCat	ExperimentPhase	Weight	WeightCat	WeightRounded	WeightRoundedCat	CategoricalID
#q2:types	categorical	categorical	numeric	categorical	numeric	categorical	numeric	categorical	numeric	categorical	categorical	numeric	categorical	numeric	categorical	categorical
sample-1	A	A1	5	5	10	10	1	1	1	1	Diet	18.5	18.5	19	19	A1.d1
sample-2	A	A1	5	5	29	29	20	20	2	2	Diet	18.8	18.8	19	19	A1.d20
sample-3	A	A1	6	6	9	9	31	31	3	3	Antibiotics	20.0	20.0	20	20	A1.d31
sample-4	A	A1	6	6	13	13	35	35	4	4	Post-Antibiotics	20.0	20.0	20	20	A1.d35
sample-5	A	A1	6	6	19	19	41	41	5	5	Post-Antibiotics	21.3	21.3	21	21	A1.d41
sample-6	A	A2	5	5	10	10	1	1	1	1	Diet	16.5	16.5	17	17	A2.d1
sample-7	A	A2	5	5	29	29	20	20	2	2	Diet	17.7	17.7	18	18	A2.d20
sample-8	A	A2	6	6	9	9	31	31	3	3	Antibiotics	18.9	18.9	19	19	A2.d31
sample-9	A	A2	6	6	13	13	35	35	4	4	Post-Antibiotics	19.5	19.5	20	20	A2.d35
sample-10	A	A2	6	6	19	19	41	41	5	5	Post-Antibiotics	19.7	19.7	20	20	A2.d41
sample-11	A	A3	5	5	10	10	1	1	1	1	Diet	17.1	17.1	17	17	A3.d1
sample-12	A	A3	5	5	29	29	20	20	2	2	Diet	18.2	18.2	18	18	A3.d20
sample-13	A	A3	6	6	9	9	31	31	3	3	Antibiotics	19.2	19.2	19	19	A3.d31
sample-14	A	A3	6	6	13	13	35	35	4	4	Post-Antibiotics	19.8	19.8	20	20	A3.d35
sample-15	A	A3	6	6	19	19	41	41	5	5	Post-Antibiotics	19.3	19.3	19	19	A3.d41
sample-16	A	A4	6	6	9	9	31	31	3	3	Antibiotics	20.1	20.1	20	20	A4.d31
sample-17	A	A5	6	6	9	9	31	31	3	3	Antibiotics	20.0	20.0	20	20	A5.d31
sample-18	A	A6	6	6	9	9	31	31	3	3	Antibiotics	19.9	19.9	20	20	A6.d31
sample-19	A	A7	6	6	9	9	31	31	3	3	Antibiotics	20.5	20.5	21	21	A7.d31
sample-20	A	A8	6	6	9	9	31	31	3	3	Antibiotics	19.2	19.2	19	19	A8.d31
sample-21	B	B1	5	5	10	10	1	1	1	1	Diet	17.3	17.3	17	17	B1.d1
sample-22	B	B1	5	5	29	29	20	20	2	2	Diet	19.3	19.3	19	19	B1.d20
sample-23	B	B1	6	6	9	9	31	31	3	3	Antibiotics	19.8	19.8	20	20	B1.d31
sample-24	B	B1	6	6	13	13	35	35	4	4	Post-Antibiotics	19.9	19.9	20	20	B1.d35
sample-25	B	B1	6	6	19	19	41	41	5	5	Post-Antibiotics	19.3	19.3	19	19	B1.d41
sample-26	B	B2	5	5	10	10	1	1	1	1	Diet	18.7	18.7	19	19	B2.d1
sample-27	B	B2	5	5	29	29	20	20	2	2	Diet	18.4	18.4	18	18	B2.d20
sample-28	B	B2	6	6	9	9	31	31	3	3	Antibiotics	19.5	19.5	20	20	B2.d31
sample-29	B	B2	6	6	13	13	35	35	4	4	Post-Antibiotics	19.6	19.6	20	20	B2.d35
sample-30	B	B2	6	6	19	19	41	41	5	5	Post-Antibiotics	19.8	19.8	20	20	B2.d41
sample-31	B	B3	5	5	10	10	1	1	1	1	Diet	17.6	17.6	18	18	B3.d1
sample-32	B	B3	5	5	29	29	20	20	2	2	Diet	18.6	18.6	19	19	B3.d20
sample-33	B	B3	6	6	9	9	31	31	3	3	Antibiotics	19.7	19.7	20	20	B3.d31
sample-34	B	B3	6	6	13	13	35	35	4	4	Post-Antibiotics	19.7	19.7	20	20	B3.d35
sample-35	B	B3	6	6	19	19	41	41	5	5	Post-Antibiotics	20.5	20.5	21	21	B3.d41
sample-36	B	B4	6	6	9	9	31	31	3	3	Antibiotics	18.7	18.7	19	19	B4.d31
sample-37	B	B5	6	6	9	9	31	31	3	3	Antibiotics	20.1	20.1	20	20	B5.d31
sample-38	B	B6	6	6	9	9	31	31	3	3	Antibiotics	20.7	20.7	21	21	B6.d31
sample-39	C	C1	5	5	10	10	1	1	1	1	Diet	19.1	19.1	19	19	C1.d1
sample-40	C	C1	5	5	29	29	20	20	2	2	Diet	18.3	18.3	18	18	C1.d20
sample-41	C	C1	6	6	9	9	31	31	3	3	Antibiotics	19.5	19.5	20	20	C1.d31
sample-42	C	C1	6	6	13	13	35	35	4	4	Post-Antibiotics	20.2	20.2	20	20	C1.d35
sample-43	C	C1	6	6	19	19	41	41	5	5	Post-Antibiotics	20.8	20.8	21	21	C1.d41
sample-44	C	C2	5	5	10	10	1	1	1	1	Diet	17.9	17.9	18	18	C2.d1
sample-45	C	C2	5	5	29	29	20	20	2	2	Diet	19.3	19.3	19	19	C2.d20
sample-46	C	C2	6	6	9	9	31	31	3	3	Antibiotics	19.6	19.6	20	20	C2.d31
sample-47	C	C2	6	6	13	13	35	35	4	4	Post-Antibiotics	21.2	21.2	21	21	C2.d35
sample-48	C	C2	6	6	19	19	41	41	5	5	Post-Antibiotics	19.6	19.6	20	20	C2.d41
sample-49	C	C3	5	5	10	10	1	1	1	1	Diet	17.2	17.2	17	17	C3.d1
sample-50	C	C3	5	5	29	29	20	20	2	2	Diet	17.4	17.4	17	17	C3.d20
sample-51	C	C3	6	6	9	9	31	31	3	3	Antibiotics	18.4	18.4	18	18	C3.d31
sample-52	C	C3	6	6	13	13	35	35	4	4	Post-Antibiotics	18.8	18.8	19	19	C3.d35
sample-53	C	C3	6	6	19	19	41	41	5	5	Post-Antibiotics	18.9	18.9	19	19	C3.d41
sample-54	C	C4	6	6	9	9	31	31	3	3	Antibiotics	20.4	20.4	20	20	C4.d31
sample-55	C	C5	6	6	9	9	31	31	3	3	Antibiotics	19.7	19.7	20	20	C5.d31
sample-56	C	C6	6	6	9	9	31	31	3	3	Antibiotics	20.7	20.7	21	21	C6.d31
sample-57	C	C7	6	6	9	9	31	31	3	3	Antibiotics	18.1	18.1	18	18	C7.d31
sample-58	C	C8	6	6	9	9	31	31	3	3	Antibiotics	19.2	19.2	19	19	C8.d31
sample-59	D	D1	5	5	10	10	1	1	1	1	Diet	18.1	18.1	18	18	D1.d1
sample-60	D	D1	5	5	29	29	20	20	2	2	Diet	19.3	19.3	19	19	D1.d20
sample-61	D	D1	6	6	9	9	31	31	3	3	Antibiotics	19.4	19.4	19	19	D1.d31
sample-62	D	D1	6	6	13	13	35	35	4	4	Post-Antibiotics	21.0	21.0	21	21	D1.d35
sample-63	D	D1	6	6	19	19	41	41	5	5	Post-Antibiotics	21.0	21.0	21	21	D1.d41
sample-64	D	D2	5	5	10	10	1	1	1	1	Diet	17.5	17.5	18	18	D2.d1
sample-65	D	D2	5	5	29	29	20	20	2	2	Diet	18.4	18.4	18	18	D2.d20
sample-66	D	D2	6	6	9	9	31	31	3	3	Antibiotics	19.4	19.4	19	19	D2.d31
sample-67	D	D2	6	6	13	13	35	35	4	4	Post-Antibiotics	19.6	19.6	20	20	D2.d35
sample-68	D	D2	6	6	19	19	41	41	5	5	Post-Antibiotics	20.6	20.6	21	21	D2.d41
sample-69	D	D3	5	5	10	10	1	1	1	1	Diet	18.6	18.6	19	19	D3.d1
sample-70	D	D3	5	5	29	29	20	20	2	2	Diet	19.3	19.3	19	19	D3.d20
sample-71	D	D3	6	6	9	9	31	31	3	3	Antibiotics	19.3	19.3	19	19	D3.d31
sample-72	D	D3	6	6	13	13	35	35	4	4	Post-Antibiotics	19.7	19.7	20	20	D3.d35
sample-73	D	D3	6	6	19	19	41	41	5	5	Post-Antibiotics	20.7	20.7	21	21	D3.d41
sample-74	D	D4	6	6	9	9	31	31	3	3	Antibiotics	17.8	17.8	18	18	D4.d31
sample-75	D	D5	6	6	9	9	31	31	3	3	Antibiotics	19.9	19.9	20	20	D5.d31
sample-76	D	D6	6	6	9	9	31	31	3	3	Antibiotics	20.2	20.2	20	20	D6.d31
sample-77	X	X1	5	5	10	10	1	1	1	1	Diet	19.4	19.4	19	19	X1.d1
sample-78	X	X1	5	5	29	29	20	20	2	2	Diet	20.3	20.3	20	20	X1.d20
sample-79	X	X1	6	6	9	9	31	31	3	3	Antibiotics	21.6	21.6	22	22	X1.d31
sample-80	X	X1	6	6	13	13	35	35	4	4	Post-Antibiotics	22.3	22.3	22	22	X1.d35
sample-81	X	X1	6	6	19	19	41	41	5	5	Post-Antibiotics	21.4	21.4	21	21	X1.d41
sample-82	X	X2	5	5	10	10	1	1	1	1	Diet	18.6	18.6	19	19	X2.d1
sample-83	X	X2	5	5	29	29	20	20	2	2	Diet	20.5	20.5	21	21	X2.d20
sample-84	X	X2	6	6	9	9	31	31	3	3	Antibiotics	20.4	20.4	20	20	X2.d31
sample-85	X	X2	6	6	13	13	35	35	4	4	Post-Antibiotics	18.9	18.9	19	19	X2.d35
sample-86	X	X2	6	6	19	19	41	41	5	5	Post-Antibiotics	19.4	19.4	19	19	X2.d41
sample-87	Y	Y1	5	5	10	10	1	1	1	1	Diet	18.6	18.6	19	19	Y1.d1
sample-88	Y	Y1	5	5	29	29	20	20	2	2	Diet	19.8	19.8	20	20	Y1.d20
sample-89	Y	Y1	6	6	9	9	31	31	3	3	Antibiotics	20.0	20.0	20	20	Y1.d31
sample-90	Y	Y1	6	6	13	13	35	35	4	4	Post-Antibiotics	19.8	19.8	20	20	Y1.d35
sample-91	Y	Y1	6	6	19	19	41	41	5	5	Post-Antibiotics	19.9	19.9	20	20	Y1.d41
sample-92	Y	Y2	5	5	10	10	1	1	1	1	Diet	18.0	18.0	18	18	Y2.d1
sample-93	Y	Y2	5	5	29	29	20	20	2	2	Diet	17.4	17.4	17	17	Y2.d20
sample-94	Y	Y2	6	6	9	9	31	31	3	3	Antibiotics	18.4	18.4	18	18	Y2.d31
sample-95	Y	Y2	6	6	13	13	35	35	4	4	Post-Antibiotics	18.1	18.1	18	18	Y2.d35
sample-96	Y	Y2	6	6	19	19	41	41	5	5	Post-Antibiotics	19.1	19.1	19	19	Y2.d41