Compound,Replicate,concentration ug/mL,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Peak Rank
Cefoperazone,D01_r01,8,646.1,1,530.1339,1,Cefoperazone_t1,2.6,68725456,1
Cefoperazone,D01_r02,8,646.1,1,530.1339,1,Cefoperazone_t1,2.6,70210256,1
Cefoperazone,D01_r03,8,646.1,1,530.1339,1,Cefoperazone_t1,2.6,70022368,1
Cefoperazone,D02_r01,2,646.1,1,530.1339,1,Cefoperazone_t1,2.6,22683164,1
Cefoperazone,D02_r02,2,646.1,1,530.1339,1,Cefoperazone_t1,2.6,22552944,1
Cefoperazone,D02_r03,2,646.1,1,530.1339,1,Cefoperazone_t1,2.6,23328920,1
Cefoperazone,D03_r01,0.5,646.1,1,530.1339,1,Cefoperazone_t1,2.6,6320742,1
Cefoperazone,D03_r02,0.5,646.1,1,530.1339,1,Cefoperazone_t1,2.6,6437571,1
Cefoperazone,D03_r03,0.5,646.1,1,530.1339,1,Cefoperazone_t1,2.7,5831116,1
Cefoperazone,D04_r01,0.125,646.1,1,530.1339,1,Cefoperazone_t1,2.6,1577039,1
Cefoperazone,D04_r02,0.125,646.1,1,530.1339,1,Cefoperazone_t1,2.6,1560844,1
Cefoperazone,D04_r03,0.125,646.1,1,530.1339,1,Cefoperazone_t1,2.6,1560509,1
Cefoperazone,D05_r01,0.03125,646.1,1,530.1339,1,Cefoperazone_t1,2.6,366995,1
Cefoperazone,D05_r02,0.03125,646.1,1,530.1339,1,Cefoperazone_t1,2.6,368127,1
Cefoperazone,D05_r03,0.03125,646.1,1,530.1339,1,Cefoperazone_t1,2.6,375953,1
Cefoperazone,D06_r01,0.0078125,646.1,1,530.1339,1,Cefoperazone_t1,2.6,88104,1
Cefoperazone,D06_r02,0.0078125,646.1,1,530.1339,1,Cefoperazone_t1,2.6,95417,1
Cefoperazone,D06_r03,0.0078125,646.1,1,530.1339,1,Cefoperazone_t1,2.6,95292,1
Cefoperazone,D07_r01,0.001953125,646.1,1,530.1339,1,Cefoperazone_t1,2.6,24860,1
Cefoperazone,D07_r02,0.001953125,646.1,1,530.1339,1,Cefoperazone_t1,2.6,23704,1
Cefoperazone,D07_r03,0.001953125,646.1,1,530.1339,1,Cefoperazone_t1,2.6,26721,1
Cefoperazone,D08_r01,0.000488281,646.1,1,530.1339,1,Cefoperazone_t1,2.6,5836,1
Cefoperazone,D08_r02,0.000488281,646.1,1,530.1339,1,Cefoperazone_t1,2.6,5351,1
Cefoperazone,D08_r03,0.000488281,646.1,1,530.1339,1,Cefoperazone_t1,2.6,6296,1
Cefoperazone,D09_r01,0.00012207,646.1,1,530.1339,1,Cefoperazone_t1,2.6,1492,1
Cefoperazone,D09_r02,0.00012207,646.1,1,530.1339,1,Cefoperazone_t1,2.6,1389,1
Cefoperazone,D09_r03,0.00012207,646.1,1,530.1339,1,Cefoperazone_t1,2.6,1352,1